Timestamp,CPU_Perc,Mem_Usage
1780074026000,0.63%,60.81MiB / 7.563GiB
1780074029000,0.90%,60.15MiB / 7.563GiB
1780074031000,0.96%,60.54MiB / 7.563GiB
1780074033000,1.19%,61.01MiB / 7.563GiB
1780074035000,9.17%,60.52MiB / 7.563GiB
1780074037000,0.36%,61.26MiB / 7.563GiB
1780074040000,0.83%,60.58MiB / 7.563GiB
1780074042000,0.61%,60.92MiB / 7.563GiB
1780074044000,0.43%,60.38MiB / 7.563GiB
1780074046000,0.34%,61.11MiB / 7.563GiB
1780074049000,0.70%,61.7MiB / 7.563GiB
1780074051000,0.74%,60.91MiB / 7.563GiB
1780074053000,0.37%,61.35MiB / 7.563GiB
1780074055000,0.34%,60.79MiB / 7.563GiB
1780074058000,0.58%,61.49MiB / 7.563GiB
1780074061000,1.53%,61.07MiB / 7.563GiB
1780074063000,0.47%,61.34MiB / 7.563GiB
1780074065000,0.72%,62MiB / 7.563GiB
1780074067000,0.27%,62.5MiB / 7.563GiB
1780074070000,0.55%,62.04MiB / 7.563GiB
1780074072000,0.32%,61.75MiB / 7.563GiB
1780074074000,0.22%,61.77MiB / 7.563GiB
1780074076000,0.84%,61.18MiB / 7.563GiB
1780074078000,0.90%,61.54MiB / 7.563GiB
1780074081000,0.60%,61.08MiB / 7.563GiB
1780074083000,0.58%,61.43MiB / 7.563GiB
1780074085000,0.79%,61.79MiB / 7.563GiB
1780074087000,0.82%,61.41MiB / 7.563GiB
1780074090000,0.45%,61.52MiB / 7.563GiB
1780074092000,0.31%,61.25MiB / 7.563GiB
1780074094000,0.54%,61.36MiB / 7.563GiB
1780074096000,0.84%,61.53MiB / 7.563GiB
1780074099000,0.95%,61.87MiB / 7.563GiB
1780074101000,0.46%,61.39MiB / 7.563GiB
1780074103000,0.39%,61.99MiB / 7.563GiB
1780074105000,0.86%,62.05MiB / 7.563GiB
1780074107000,1.04%,62.04MiB / 7.563GiB
1780074110000,0.59%,62.14MiB / 7.563GiB
1780074112000,0.66%,61.68MiB / 7.563GiB
1780074115000,0.46%,61.78MiB / 7.563GiB
1780074117000,0.81%,61.52MiB / 7.563GiB
1780074120000,0.51%,61.8MiB / 7.563GiB
1780074122000,0.46%,62.11MiB / 7.563GiB
1780074124000,0.49%,61.6MiB / 7.563GiB
1780074126000,8.11%,61.93MiB / 7.563GiB
1780074128000,0.54%,61.89MiB / 7.563GiB
1780074131000,0.76%,62.3MiB / 7.563GiB
1780074133000,0.97%,62.46MiB / 7.563GiB
1780074135000,0.39%,62.82MiB / 7.563GiB
1780074137000,0.25%,63.14MiB / 7.563GiB
1780074140000,0.22%,62.42MiB / 7.563GiB
1780074142000,0.53%,62.43MiB / 7.563GiB
1780074144000,0.43%,62.5MiB / 7.563GiB
1780074146000,0.45%,61.96MiB / 7.563GiB
1780074149000,0.54%,62.55MiB / 7.563GiB
1780074151000,1.15%,61.79MiB / 7.563GiB
1780074153000,0.45%,62.29MiB / 7.563GiB
1780074155000,0.91%,62.75MiB / 7.563GiB
1780074157000,0.58%,62.84MiB / 7.563GiB
1780074160000,0.39%,62.79MiB / 7.563GiB
1780074162000,0.53%,62MiB / 7.563GiB
1780074164000,0.34%,62.41MiB / 7.563GiB
1780074167000,0.29%,62.28MiB / 7.563GiB
1780074170000,0.38%,63.11MiB / 7.563GiB
1780074172000,1.09%,62.18MiB / 7.563GiB
1780074174000,0.37%,62.75MiB / 7.563GiB
1780074176000,0.45%,62.62MiB / 7.563GiB
1780074178000,0.46%,62.49MiB / 7.563GiB
1780074181000,0.79%,62.86MiB / 7.563GiB
1780074183000,0.62%,62.44MiB / 7.563GiB
1780074185000,0.52%,63.01MiB / 7.563GiB
1780074187000,0.36%,62.31MiB / 7.563GiB
1780074190000,0.53%,62.88MiB / 7.563GiB
1780074192000,2.12%,62.92MiB / 7.563GiB
1780074194000,0.79%,62.56MiB / 7.563GiB
1780074196000,0.52%,62.75MiB / 7.563GiB
1780074198000,0.75%,62.36MiB / 7.563GiB
1780074201000,0.38%,62.57MiB / 7.563GiB
1780074203000,0.37%,63.39MiB / 7.563GiB
1780074205000,0.76%,63.41MiB / 7.563GiB
1780074207000,0.48%,64.06MiB / 7.563GiB
1780074210000,0.43%,63.24MiB / 7.563GiB
1780074212000,0.24%,63.26MiB / 7.563GiB
1780074214000,0.49%,63.27MiB / 7.563GiB
1780074216000,0.72%,63.37MiB / 7.563GiB
1780074219000,0.67%,62.73MiB / 7.563GiB
1780074221000,0.44%,63.07MiB / 7.563GiB
1780074223000,0.44%,63.4MiB / 7.563GiB
1780074226000,0.54%,62.65MiB / 7.563GiB
1780074228000,0.51%,63.36MiB / 7.563GiB
1780074231000,0.46%,62.9MiB / 7.563GiB
1780074233000,0.84%,63.48MiB / 7.563GiB
1780074235000,0.53%,63.53MiB / 7.563GiB
1780074237000,0.47%,63.02MiB / 7.563GiB
1780074240000,0.33%,63.4MiB / 7.563GiB
1780074242000,0.46%,63.01MiB / 7.563GiB
1780074244000,0.60%,63.56MiB / 7.563GiB
1780074246000,0.23%,63.61MiB / 7.563GiB
1780074248000,0.51%,63.43MiB / 7.563GiB
1780074251000,1.59%,62.84MiB / 7.563GiB
1780074253000,0.73%,63.17MiB / 7.563GiB
1780074255000,0.62%,63.63MiB / 7.563GiB
1780074257000,0.28%,63.1MiB / 7.563GiB
1780074260000,0.29%,63.42MiB / 7.563GiB
1780074262000,0.79%,63.04MiB / 7.563GiB
1780074264000,0.27%,63.25MiB / 7.563GiB
1780074266000,0.85%,63.79MiB / 7.563GiB
1780074269000,0.71%,63.25MiB / 7.563GiB
1780074271000,1.68%,63.59MiB / 7.563GiB
1780074273000,0.49%,63.84MiB / 7.563GiB
1780074275000,0.80%,64.3MiB / 7.563GiB
1780074277000,0.27%,64.78MiB / 7.563GiB
1780074280000,0.46%,64.29MiB / 7.563GiB
1780074283000,0.47%,64.54MiB / 7.563GiB
1780074285000,0.68%,63.68MiB / 7.563GiB
1780074287000,0.21%,63.74MiB / 7.563GiB
1780074290000,0.42%,64.2MiB / 7.563GiB
1780074292000,0.62%,63.58MiB / 7.563GiB
1780074294000,0.34%,63.95MiB / 7.563GiB
1780074296000,0.37%,63.32MiB / 7.563GiB
1780074298000,0.52%,63.8MiB / 7.563GiB
1780074301000,1.54%,63.5MiB / 7.563GiB
1780074303000,0.50%,63.66MiB / 7.563GiB
1780074305000,0.60%,64.02MiB / 7.563GiB
1780074307000,0.35%,64.02MiB / 7.563GiB
1780074310000,0.47%,64.1MiB / 7.563GiB
1780074312000,0.32%,64MiB / 7.563GiB
1780074314000,0.24%,64.03MiB / 7.563GiB
1780074316000,0.53%,64.8MiB / 7.563GiB
1780074319000,0.74%,64.31MiB / 7.563GiB
1780074322000,0.59%,64.56MiB / 7.563GiB
1780074324000,0.93%,63.71MiB / 7.563GiB
1780074326000,0.92%,64.03MiB / 7.563GiB
1780074328000,0.95%,63.96MiB / 7.563GiB
1780074331000,1.08%,64.11MiB / 7.563GiB
1780074333000,0.38%,64.82MiB / 7.563GiB
1780074335000,1.07%,64.32MiB / 7.563GiB
1780074337000,1.19%,65.07MiB / 7.563GiB
1780074340000,0.85%,64.12MiB / 7.563GiB
1780074342000,0.25%,64.3MiB / 7.563GiB
1780074344000,0.38%,64.85MiB / 7.563GiB
1780074346000,0.55%,65.24MiB / 7.563GiB
1780074348000,0.77%,65.68MiB / 7.563GiB
